Informal Works in English,Profession  in Amharic,Professional / Informal,sector,sub sector
protection and cleaning,ጥበቃ እና ፅዳት,I,,-
Able to cut and sew women's and men's traditional clothes.,የሴትና የወንድ የባህል ልብስ ቆርጦ መስፋት,P,SERVICE,
Able to hack embroidery,ጥልፍ መጥለፍ የሚችል,I,,
Able to produce vases and other accessories made of cement,ከሲሚንቶ የሚሰሩ የአበባ ማስቀመጫና ሌሎች መገልገያዎችን ማምረት የሚችል,I,Manufcturing,
Able to teach and recite the Qur'an,ትምህርት ማስጠናት እና ቁርአን ማስነበብ የሚችሉ,I,,
receptionist,እንግዳ ተቀባይ,P,,
sales professional,የሽያጭ ባለሞያ,P,,
Accountant and secretary,የሒሳብ ሠራተኛና ፀሀፊ,P,,
Acting and editing a YouTube show for a new film and theater group,አዲስ ለሚቋቋም የፊልም እና የቲያትር ቡድን በትወና በኤዲቲንግ በዩቲዩብ ሾ ው ስራ,P,,
Actor,ተዋናይ,P,SERVICE,
narrator,ተራኪ,P,SERVICE,
Administration and Finance,አስተዳደርና ፋይናንስ,P,,
Administrative Officer,የአስተዳደር ኦፊሰር,P,,
Advertising and Sales,የማስታወቂያ እና ሽያጭ (ሴልስ),U,,
Advertising machines operator,የማስታወቂያ ማሽኖች ኦፕሬተር,P,,
Advertising work,የማስታወቂያ ሥራ,P,,
host,አስተናጋጅ,I,,
Agency secretary and receptionist,የኤጀንሲ ጸሃፊ እና እንግዳ ተቀባይ,I,,
Agent distributor,ወኪል አከፋፋይ,P,,
Aluminum expert,የአልሙኒየም ባለሙያ,P,SERVICE,
Amharic language teacher,የአማርኛ ቋንቋ አስተማሪ,P,,
Amharic news producer and audio presenter,የአማርኛ ዜና አዘጋጅ እና በድምጽ አቅራቢ,P,,
Amharic text writer and photoshop designer,አማርኛ ፅሁፍ ፀሐፊና ፎቶሾፕ ዲዛይነር,P,,
"An expert who can make shapes with paper, fabric and different raw materials",በወረቀት ፣ በጨርቅ እንዲሁም በተለያየ ጥሬ እቃ ቅርፃ ቅርፅ መስራት የሚች ል ባለሙያ,P,,
Answering phone calls for ride and delivery work,የስልክ ጥሪ የምትቀበል ለ ራይድና ዲሊቨሪ ስራ,P,,
Arabic speaking writer,የአረብኛ ተናጋሪ ጸሀፊ,P,SERVICE,
Architect designer,አርክቴክት ዲዛይነር,P,,
Art teacher,የአርት መምህር,P,,
Artificial grass,አርቴፊሻል ሳር አንጣፊ,U,,
Aspiring fashion designer,ፋሽን ዲዛይነር,P,,
Aspiring sports journalist,የስፖርት ጋዜጠኛ,P,SERVICE,-
Assistant Advertising Associate,ረዳት የማስታወቂያ ተባባሪ,P,SERVICE,
assistant and head teacher,ረዳት እና ዋና መምህር,P,SERVICE,
Assistant Executive Secretary,ረዳት ኤክሲኪዩቲቭ ሴክሬተሪ,P,SERVICE,
Assistant Food and Beverage Control,ረዳት የምግብ እና መጠጥ ቁጥጥር,I,SERVICE,
Assistant Insurance Compliance Officer,ረዳት ኢንሹራንስ ክትትል ባለሙያ,P,SERVICE,
Assistant juicer,ረዳት ጁስ ሰሪ,I,SERVICE,
Assistant kitchen,ረዳት ወጥ ቤት,I,SERVICE,
Assistant Production Supervisor.,አሲስታንት ፕሮዳክሽን ሱፐርቫይዘር,P,SERVICE,
Assistant Professor of Nail and Eyelash,የጥፍር እና አይላሽ ረዳት መምህር,P,,
Assistant Property Inventory and Monitoring Officer,በረዳት ንብረት ክምችት እና ክትትል ኦፊሰር,P,SERVICE,
Assistant teacher at Susan's Beauty Training,በሱዛን የውበት ማሰልጠኛ ረዳት መምህር,P,,
Assistant technician and manual worker,ረዳት ቴክኒሽያን እና ባንባ ሰራተኛ,P,,
Assistant tutor,ረዳት ሞግዚት,I,constraction,
Asuzu van sales staff,አሱዙ ቫን ሽያጭ ሰራተኛ,I,SERVICE,
Attorney's assistant,የጠበቃ ረዳት,I,Trade,
Auction specialist,ጨረታ ባለሙያ,I,,
Audio or radio advertising professional,ድምፅአዊ ወይም ሬድዩ ማስታወቂያ ባለ ሞያ,P,SERVICE,
Audio recording of Tigrinya language,የትግርኛ ቋንቋ የድምጽ ቅጂ ቀረጻ,I,,
Auto electrician,አውቶ ኤሌክትሪሽያን,P,,
Auto mechanic and tire specialist,አውቶ መካኒክ እና የጎሚስታ ባለሙያ,P,constraction,
Auxiliary fiber producer,ረዳት ፋይበር አምራች,P,Manufcturing,
Baby teacher,ህፃን ልጅ አስጠኚ,P,SERVICE,
Bachelor's degree in history and related fields,በ ታሪክ እና ተያያዥነት ባላቸው የት/ት ዘርፍ የመጀመሪያ ዲግሪ ያለው/ያላት,P,SERVICE,
Bachelor's degree in law,በ ህግ የመጀመሪያ ድግሪ ምሩቅ,P,,
Bag maker,ቦርሳ ሰሪ,I,,
Bar and Restaurant Manager,ባር እና ሬስቶራንት ማናጀር,P,Manufcturing,
Bar and Restaurant Supervisor,ባር እና ሬስቶራንት ሱፐርቫይዘር,,SERVICE,
Bar Man,ባር ማን,I,SERVICE,
Bar tender,ባር ቴንደር,I,,
Barista,ባሬስታ,I,SERVICE,
Bazaar sales employee,የባዛር ሽያጭ ሰራተኛ,I,SERVICE,
beginner in the Yage and General Assistant,ጀማሪ በያጅ እና ጀነራል አሲስታንት,I,,
massage therapist,ጀማሪ የማሳጅ ባለሙያ,I,SERVICE,
Beginner mechanic,ጀማሪ መካኒክ,P,SERVICE,
Beginner patcher,ጀማሪ ፓቸር,P,Manufcturing,
Beginner singer,ጀማሪ ዘፋኝ,I,SERVICE,
Beginner video editor,ጀማሪ የቪዲዮ ኤዲተር,P,SERVICE,
Beginner vocal and keyboard coach,ጀማሪ ቭካል እና ኪቦርድ አሰልጣኝ,P,SERVICE,
Betting Casher,ቤቲንግ ካሸር,P,SERVICE,
Betting house ticket counter,የቤቲንግ ቤት ትኬት ቆራጭ,I,,
Betting website that has the ability to work,የቤቲንግ ዌብሳይት የመስራት አቅም ያለው,P,,
Beverage distributor,መጠጥ ማከፋፈያ(ሻጭ),I,,
Bicycle messenger,ሳይክል መልክተኛ,I,Trade,
Bicycle rental,ብስክሌት አከራይ,I,,
Biomedical Eng,ባዮ ሜዲካል ኢንጅነር,P,,
Book translator,መጽሐፍ ተርጓሚ,I,,
Bookstore Sales Specialist,የመጽሀፍት መደብር ሽያጭ ባለሞያ,I,,
Boutique employee,የቡቲክ ሰራተኛ,I,,
Braiding hair specialist,የ ሽሩባ ስፌት ፀጉር ባለሞያ,P,,
Bread and Coffee Waiter,የጀበና ቡና አስተናጋጅ (የምታፈላ),I,SERVICE,
Bread seller,ዳቦ ሻጭ,I,SERVICE,
Breakfast home cook,ቁርስ ቤት ምግብ ሰሪ,I,SERVICE,
Breakfast host,ቁርስ ቤት አስተናጋጅ,I,SERVICE,
Brochures and stickers for posters,ብሮሸር በታኝ እና ስቲከር ለጣፊ,I,SERVICE,
Budding comedy talent,ጀማሪ የኮሜዲ ታለንት,I,,
"Budget Allocation Specialist, Salary Scale Research Specialist",የበጀት ድልድል ባለሙያ ፣ የደመወዝ እስኬል ጥናት ባለሙያ,P,SERVICE,
Builder,ግንበኛ,I,,
Burger house manager,የበርገር ቤት ማናጀር,P,,
Burger house waiter,የበርገር ቤት አስተናጋጅ,I,,
Business developer,ቢዝነስ ዴቨሎፐር,P,,
Business information editor and writer,የቢዝነስ መረጃዎች አዘጋጅ እና ፀሀፊ,P,,
Call center,ኮል ሴንተር,P,SERVICE,
Camcorder TV (Fulm),የካሜራ ቀረፃ ቲቪ (ፉልም),P,SERVICE,
Camera expert,ካሜራ ባለሙያ,P,,
Cameraman and editor,ካሜራ ማን እና ኢዲተር,P,SERVICE,
"Cameraman, Video Editor, Senior Reporter, Reporter, Business and Economy Programmer, News Producer",ካሜራ ባለሙያ፣ ቪዲዮ ኤዲተር፣ ከፍተኛ ሪፖርተር፣ ሪፖርተር፣ የቢዝነስና ኢኮኖሚ ፕሮግራም አዘጋጅ፣ የዜና አዘጋጅ,P,SERVICE,
Can make Chinese 🇨🇳 food,የቻይና🇨🇳 ምግብ መስራት የሚችል/የምትችል,P,SERVICE,
Car attendant,የመኪና ረዳት,I,,
Car body worker,የመኪና ቦዲ ሰራተኛ,P,,
Car seat clothes wide,የመኪና ወንበር ልብስ ሰፊ,I,SERVICE,
Carpet cleaner,የምንጣፍ እጥበት ሰራተኛ,I,,
Case executive,ጉዳይ ፈፃሚ,P,,
Case executor and legal assistant,ጉዳይ ፈጻሚ እና የህግ ረዳት,P,SERVICE,
Cashier,ካሸሪ,P,SERVICE,
Chief Mechanic,ቺፍ መካኒክ,P,SERVICE,
Chief woodworker,ቺፍ የእንጨት ባለሙያ,P,SERVICE,
Children's boutique sales clerk,የልጆች ቡቲክ የሽያጭ ሰራተኛ,I,Manufcturing,
Children's hair braider,የህፃናት ፀጉር ሹሩባ ሠራተኛ,I,,
Children's hairdresser,የልጆች ፀጉር ባለሙያ,,,
Children's teacher,የሟህለፃናት መምህር,P,,
Chips and egg sandwiches,ቺፕስ እና እንቁላል ሳንዱች ጠባሽ,I,,
Cinema host,የሲኒማ አስተናጋጅ,I,SERVICE,
Civics teacher,ሲቪክስ አስተማሪ,P,,
Civil or Mechanical Engg,ሲቪል ወይም መካኒካል ኢንጂነር,P,,
Cleaning,ጽዳት,I,SERVICE,
Cleaning supervisor,የጽዳት ስራ ሱፐርቫይዘር,I,SERVICE,
Clerk of the registry office,መዝገብ ቤት ሰራተኛ,I,SERVICE,
Clerk/Secretary/Secretary,የጽሕፈትና የቢሮ አስተዳር ባለሙያ/ጸሐፊ/ሴክሪታሪ,P,SERVICE,
Clothing designer,ልብስ ዲዛይነር,P,,
Clothing printing,የልብስ ህትመት,U,Manufcturing,
Coffee collector,ቡና ሰብሳቢ,I,,
Columnist/ Secretary,አምደኛ/ ፀሀፊ,P,SERVICE,
Comedian (comedy presenter),ኮሜዲያን (ኮሜዲ ድራሲና አቅራቢ),P,,
Commission work,የኮሚሽን ስራ,I,,
competent video editor,ብቃት ያለው ቪዲዮ ኤዲተር,P,,
Complete service for individual or corporate wholesale distribution,የይሙሉ አገልግሎትን በግል ወይም በድርጅት በጅምላ ለማከፋፈል,I,SERVICE,
Computer and information specialist,የኮምፒውተር እና መረጃ ባለሞያ,P,,
Computer and mobile home sales,ኮፒተርና ሞባይል ቤት ሽያጭ,P,,
Computer Science or Information Technology and Executive Affairs,ኮምፒውተር ሳይንስ ወይም ኢንፎርሜሽን ቴክኖሎጂ እና ጉዳይ አስፈፃሚ,P,,
Construction equipment sales employee,የህንፃ መሳሪያ ሽያጭ ሰራተኛ,I,,
Construction expert,የግንባታ ባለሙያ,I,,
Construction professionals,የኮንስትራክሽን ባለሙያዎች,P,,
Content developer,ኮንቴንት ዴቨሎፐር,P,,
Control and deployment of vehicles and machines,የተሽከርካሪዎች እና ማሽኖች ተቆጣጣሪ እና ስምሪት,I,,
Coordinator,ኮኦርድኔተር,U,,
Copy house worker,የ ኮፒ ቤት ፀሀፊ,P,,
Corn specialist,የዳቦ ቆሎ ባለሙያ,I,SERVICE,
Corporate promoter,የድርጅት ፕሮሞተር,P,SERVICE,
Counselor,አማካሪ,P,,
Cover wide specialist,የሽፎን ሰፊ ባለሙያ,P,SERVICE,
Craftsman,የእጅ ስራ ባለሙያ,I,SERVICE,
Culture actor,የባህል ተወወዛዋዥ,I,SERVICE,
Customs enforcement,ጉምሩክ ጉዳይ የሚያስፈጽም,P,,
beauty salon for women,የሴቶች የውበት ሳሎን,P,,
Data collector,መረጃ ሰብሳቢ,P,,
Dean,ዲን,P,SERVICE,
Decoration of precious stones,የከበሩ ድንጋዮች ማስዋብ,I,,
Decorator,የዲኮር ሰራተኛ,P,,
Delivery driver,ዴሊቨሪ ሞተረኛ,I,,
Design and printing,ዲዛይን እና ፕሪንቲንግ,P,,
Digital Instructor,ድጅታል ኢንስትራክተር,U,SERVICE,
Digital Marketing Officer,ዲጂታል ማርኬቲንግ ኦፊሰር,P,,
Digital Sales Executive,ዲጂታል ሴልስ ኤክኩቲቭ,P,,
Directing and essay writing teacher,የዳይሬክቲንግ እና ድርሰት አፃፃፍ አስተማሪ,P,,
Director,ዳይሬክተር,P,,
Dish maker,የዲሽ ሰሪ,P,,
"Dishwasher, Driller, Plumbing & Maintenance, Electrical Installation & Maintenance, Painter",የዲሽ ባለሙያ፣ የ ድሪል ባለሙያ፣ የውሃ ዝርጋታ እና ጥገና፣ የኤሌክትሪክ ዝርጋታ እና ጥገና፣ የቀለም ባለሙያ,P,SERVICE,
Draftsman,ድራፍት ቀጂ,I,constraction,
Dramatic essay writer,የድራማ ድርሰት ፀሃፊ,P,SERVICE,
Driver,ሹፌር,I,,
Driving instructor,መኪና መንዳት አለማማጅ,I,SERVICE,
Druggist,ድረጊስት,I,SERVICE,
Economic and business event provider,የኢኮኖሚና ቢዝነስ ዝግጅት አቅራቢ,P,,
Editor and graphic artist,ኤዲተርና ግራፊክስ ባለሙያ,P,,
Electrical Engineer,ኤሌክትሪካል ኢንጅነር,P,,
Electronic sales staff,የኤሌክትሮኒክስ ሽያጭ ሰራተኛ,I,,
Elevator Attendant/Controller,ሊፍት አቴንደንት/ተቆጣጣሪ,I,,
Engineer,ኢንጂነር,P,Manufcturing,
English language teacher,የእንግሊዚኛ የቋንቋ መምህር,P,,
English writer,እንግሊዘኛ ጸሀፊ,P,,
Entertainment and business writer and reader,የመዝናኛ እና ቢዝነስ ፅሃፊ እና አንባቢ,P,,
Envoy in regional cities,መልዕክተኛ በክልል ከተሞች,U,,
Epoxy specialist,የኢፖክሲ ባለሙያ,U,,
Event coordination,ኤቨንት ማስተባበር,I,,
Experienced Latin dance and dance instructor,ልምድ ያለው/ላት ውዝዋዜ እና ዳንስ አስተማሪ,P,,
Experienced repair technician,ልምድ ያለው የጥገና ባለሙያ,P,SERVICE,
Facial mask,ፌሻል ባሙያ,P,,
Farm foreman,የእርሻ ፎርማን,I,SERVICE,
Farm manager,የእርሻ ስራ አስኪያጅ,P,,
Fashion model,የፋሽን ሞዴል,P,Agriculture,
Fast Amharic writer,ፈጣን አማርኛ ፀሀፊ,I,,
actors,ተዋናዮች,P,SERVICE,
assistant teacher,ረዳት መምህር,P,SERVICE,
clothing seller,ሻጭ,I,SERVICE,
co-host of the radio program,ተባባሪ የሬዲዬ ፕሮግራም አዘጋጅ,P,Trade,
copy house worker,የኮፒ ቤት ሰራተኛ,I,SERVICE,
customer service officer,የደንበኞች አገልግሎት ኦፊሰር,P,SERVICE,
DJ,ዲጄ,I,SERVICE,
graphic designer,ግራፊክስ ዲዛይነር,P,Trade,
nail and lash specialist,ጥፍር እና አይላሽ ባለሙያ,P,SERVICE,
narrator,ተራኪ,U,SERVICE,
security guard,የጥበቃ ሰራተኛ,I,SERVICE,
share sales and monitoring specialist,የሼር ሽያጭና ክትትል ባለሙያ,I,SERVICE,
TV entertainment presenter,የቴሌቪዥን የመዝናኛ ፕሮግራም አቅራቢ,P,SERVICE,
Field reporter,የመስክ ዜና ዘጋቢ,P,SERVICE,
Field work and marketing specialist,የመስክ ስራ እና የገበያ አፈላላጊ ባለሙያ,I,SERVICE,
Film mounting and printing services,ፊልም መጫን እና የህትመት አገልግሎት,P,SERVICE,
Film production manager,የፊልም ፕሮዳክሽን ስራ አስኪያጅ,P,SERVICE,
Finishing specialist,የፊኒሺንግ ባለሙያ,P,,
Florist,የአበባ ማስዋብ ሰራተኛ,I,,
Food and beverage control expert,ምግብና መጠጥ ቁጥጥር ባለሞያ,I,,
For those who want to work as a producer,ፕሮዲውሰር ሆኖ መስራት ለምትፈልጉ,p,,
Furniture store,የእእቴሽነሪ እቃዎች መሸጫ,i,,
Game Zone Pool Player,ጌም ዞን ፑል አጫዋች,I,,
Gardener,ግቢ ተንከባካቢ(አትክልተኛ),I,SERVICE,
Garment Manager,ጋርመንት ማናጀር,P,SERVICE,
General manager,ዋና ስራ አሰኪያጅ,P,,
General Manager/Finance,ዋና አስተዳዳሪ/ ፋይናንስ,P,SERVICE,
Graphic designer,የግራፊክስ ባለሙያ,P,Finance,
Graphic Designer and Social Media Officer,የግራፊክስ ዲዛይነርና የሶሻል ሚዲያ ኦፊሰር,P,,
Grind salt,ጨው መፍጨት,I,,
Grinder,በግራይንደር,I,SERVICE,
Guest House Receptionist and Host,ገስት ሀወስ እንግዳ ተቀባይ እና አስተናጋጅ,I,,
Haba food worker,የሀበሻ ምግብ ሰራተኛ,I,SERVICE,
Hairdresser,የፀጉር አስተካካይ,P,,
Handicraft (Lace Craftsman),የእጅ ስራ (ዳንቴል ባለሞያ),I,,
Has a hacker and an embroidery singer,ጠላፊ እና የጥልፍ ሲንጀር ያለዉ,P,Manufcturing,
Head of Administration,የአስተዳደር ኃላፊ,P,Manufcturing,
Head of Administration and Finance,አስተዳደርና ፋይናንስ ኃላፊ,P,,
Head of Beauty Training Institute,የዉበት ሰራ ማሰልጠኛ ተቋም ሀላፊ,P,,
Head of Education Quality and Student Affairs Office,የትምህርት ጥራትና የተማሪዎች ጉዳይ ቢሮ ሃላፊ,P,SERVICE,
Head of general maintenance department,አጠቃላይ ጥገና ክፍል ሃላፊ,P,,
Head of Production Department & Human Resource Management,የምርት ክፍል ሀላፊ & የሰው ሃይል አስተዳደር,P,,
Health professional,የጤና ባለሞያ,P,,
History teacher,የሂስትሪ መምህር,P,Health,
Host,የፕሮግራም አቅራቢ (ሆስት),P,,
Human Resource Development and General Services Officer,የሰው ኃብት ልማት እና ጠቅላላ አገልግሎት ኦፊሰር,P,,
Ice cream expert,አይስክሬም ባለሙያ,U,SERVICE,
in agriculture,በግብርና,U,,
"In case of two-wheeler (motorcycle) executor, consignee and consignee and proper preparation of documents.",በባለሁለት ጎማ (ሞተር ብስክሌት) ጉዳይ አስፈጻሚ ፣ እቃ ገዢ እና አድራሽ እና ሰነዶችን በተገቢው ማዘጋጀት,I,,
Instillation and woodworking specialist,ኢንስታይልሽን እና የ እንጨት ስራ ባለሙያ,,,
"Instrumentalist (bass, flute, harp)","የዜማ መሳሪያ ተጫዋች (ክራር, ዋሽንት, በገና)",I,,
Interviewer,ቃለ መጠይቅ አድራጊ,I,SERVICE,
Inventory and monitoring officer,በንብረት ክምችት እና ክትትል ኦፊሰር,P,SERVICE,
Job opportunities for event planning and sales professionals,ለኢቨንት ፕላኒንግ እና የሴልስ ሙያተኛ የስራ ዕድል,U,,
Journalists,ጋዜጠኞች,P,,
Junior Sales Engineer Staff (Sales Department),ጀማሪ የሽያጭ መሀንዲስ ሰራተኛ (የሽያጭ ክፍል),P,,
Junior technician,ጀማሪ ቴክኒሺያን,P,Trade,
Kitchen staff ,የወጥ ቤት ሰራተኛ,P,SERVICE,
Leather factory worker,ቆዳ ፋብሪካ ሰራተኛ,I,SERVICE,
Legal advisor,የህግ አማካሪ,P,Manufcturing,
Legal executive,ሕጋዊ ጉዳይ አስፈፃሚ,P,SERVICE,
Librarian,የቤተ መፅሐፍት ባለሙያ,P,SERVICE,
Liquid cargo truck driver,ሹፌር,I,SERVICE,
Liquor store salesman,የመጠጥ ማከፋፈያ ሱቅ ሻጭ,I,,
Livestock seller,የእንስሳት ተዋህጾ ሻጭ,I,,
Loader and unloader,እቃ ጫኚ እና አውራጅ,I,,
Loan Monitoring Officer,ብድር ክትትል ኦፊሰር,P,SERVICE,
Machine controller,ማሽን ተቆጣጣሪ,P,Finance,
Made of steel,የብርታብረት ሰራተኝ,P,SERVICE,
"Magazine, Binder and Photo Shooter",መጽሔት፣ባይንደር እና ፎቶ የሚያነሳ,P,,
Makeup artist,ሜካፕ ባለሙያ,P,,
Making flowers,አበባ መስራት,I,SERVICE,
Making milkshakes,ሚልክሼክ የምትሰራ,I,SERVICE,
Entertainment and Business Writer and Reader (for YouTube),የመዝናኛ እና ቢዝነስ ፅሃፊ እና አንባቢ (ለዮትዮብ),P,,
model,ሞዴል,P,SERVICE,
Finance,ፋይናንስ,P,,
Marie graphic designer,ማሪ ግራፊክስ ዲዛይነር,P,,
Marketer,ማርኬተር,P,SERVICE,
Marketing Manager,ማርኬቲንግ ማኔጀር,P,,
Marketing Officer,ማርኬቲንግ ኦፊሰር,P,,
Marketing specialist,የማርኬቲን ባለሙያ,,,
Marketing specialist,የማርኬቲንግ ከፍተኛ ባለሙያ,,,
Massage and skin specialist,የማሳጅና የቆዳ ባለሞያ,P,,
Master baker and assistant baker,ዋና ዳቦ ጋጋሪ እና ረዳት ዳቦ ጋጋሪ,U,,
Master Juicer,ዋና ጁስ ሰሪ,P,SERVICE,
Mechanic,ሜካኒክ,P,SERVICE,
Mechanical Engineer,መካኒካል ኢንጅነር,P,SERVICE,
Media Digital Manager,የሚድያ ዲጅታል ማናጀር,P,,
Member Affairs Officer,የአባላት ጉዳይ ኦፊሰር,P,,
Member Relations and Capacity Building Professional Accountant,የአባላት ግንኙነት እና አቅም ግንባታ ባለሙያ,P,,
Messenger and executor,ተላላኪ እና ጉዳይ አስፈፃሚ,P,,
Minimarket sales professional,የሚኒማርኬት የሽያጭ ባለሙያ,I,SERVICE,
Mobile repair,ሞባይል ጥገና,P,,
Music composer,ሙዚቃ አቀናባሪ,U,SERVICE,
Musical instrument trainer,የዜማ መሳሪያዎች አሰልጣኝ,U,SERVICE,
Network expansion,የኔትወርክ ዝርጋታ,U,SERVICE,
Newsreader/journalist,ዜና አንባቢ/ጋዜጠኛ,P,,
Night restaurant and bar manager,የማታ የሪስቶራንትና ባር ማናጀር,P,SERVICE,
Online promotion,ኦን ላይን ፕሮሞሽን,U,SERVICE,
Oromo language audio recording,የኦሮምኛ ቋንቋ የድምጽ ቅጂ ቀረጻ,P,SERVICE,
Oromo teacher,ኦሮመኛ መምህር,P,,
Oromo to Amharic translator,ኦሮምኛ ወደ አማርኛ ተርጎሚ,P,,
Painter,ሰዐሊ,I,SERVICE,
Painter,ቀለም ቀቢ,I,SERVICE,
Permanent building manager,ሁልገብ ህንፃ አስተዳዳሪ,P,SERVICE,
Personal assistant and social media manager,የግል እረዳት እና ሶሻል ሚዲያ ማናጀር,P,,
Personality building and motivational speaker,የስብእና ግንባታ እና አነቃቂ ንግግር ተናጋሪ,U,SERVICE,
Personnel Manager,ፐርሰናል ማናጀር,U,,
Pharmacist,ፋርማሲስት,P,,
Photo and video editor,ፎቶ እና ቪዲዮ ኤዲተር,P,,
Photoshop designer,ፎቶሾፕ ዲዛይነር,P,SERVICE,
Photoshop editor,ፎቶሾፕ ኤዲተር,P,,
Physician and Physiotherapy Specialist,አስታማሚ እና የፊዚዮቴራፒ ባለሞያ,P,,
Plumbing and electrical,የቧንቧ አና የኤሌክትሪክ,P,,
Political analyst,የፓለቲካ ተንታኝ,P,constraction,
Pool House Revenue Officer,ፑል ቤት የገቢ ሰራተኛ,I,,
Pottery maker,የሸክላ ውጤቶች ሰሪ,I,SERVICE,
Preparation of career proposals,ፕሮፖዛል ማዘጋጀት,P,,
Prepare a script,ስክሪፕት አዘጋጅ,P,SERVICE,
Principal for Kindergarten,ርዕሰ መምህርት ለመዋዕለ ህፃናት,P,,
Print designer,የህትመት ስራ ዲዛይነር,P,SERVICE,
Printing machine controller,የ ህትመት ማሽን ተቆጣጣሪ,P,,
Produce news. Reader and reporter,ዜና አዘጋጅ፤ አንባቢና ሪፖርተር,P,,
Producer of a religious YouTube channel,የሀይማኖታዊ ዩቲዩብ ቻናል አዘጋጅ,P,SERVICE,
"Producer, Presenter and Commentator (Sports)",አዘጋጅ፣ አቅራቢ እና ተንታኝ (ስፖርት),P,,
Production and Service Supervisor,የምርት እና ሰርቪስ ሱፐርቫይዘር,U,,
Professional massage therapist,ፕሮፌሽናል የማሳጅ ሰራትኛ,U,SERVICE,
Project Manager job announcement,የፕሮጀክት ማናጀር ሥራ ማስታወቂያ,P,,
Project Manager or Account Officer,ፕሮጀክት ማናጀር ወይም አካውንት ኦፊሰር,P,,
promoter,ፕሮሞተር,U,,
Property and General Services Officer,የንብረትና ጠቅላላ አገልግሎት ኦፊሰር,P,,
Protection,ጥበቃ,I,,
Psychological counselor,የስነልቦና አማካሪ,P,SERVICE,
Purchaser,እቃ ግዥ ሠራተኛ,I,,
Quality controller,ኳሊቲ ተቆጣጣሪ,U,,
