informal work in eng,Profession  in Amharic,Professional / Informal,sector,sub sector,Profession in Amharic,professional/ formal
Betting Casher,ቤቲንግ ካሸር,P,,,,
Betting house ticket counter,የቤቲንግ ቤት ትኬት ቆራጭ,I,,,,
Betting website that has the ability to work,የቤቲንግ ዌብሳይት የመስራት አቅም ያለው,P,,,,
Beverage distributor,መጠጥ ማከፋፈያ(ሻጭ),I,,,,
Bicycle messenger,ሳይክል መልክተኛ,I,,,,
Bicycle rental,ብስክሌት አከራይ,I,,,,
Biomedical Eng,ባዮ ሜዲካል ኢንጅነር,P,,,,
Book translator,መጽሐፍ ተርጓሚ,I,,,,
Bookstore Sales Specialist,የመጽሀፍት መደብር ሽያጭ ባለሞያ,I,,,,
Boutique employee,የቡቲክ ሰራተኛ,I,,,,
Braiding hair specialist,የ ሽሩባ ስፌት ፀጉር ባለሞያ,P,,,,
Bread and Coffee Waiter,የጀበና ቡና አስተናጋጅ (የምታፈላ),I,,,,
Bread seller,ዳቦ ሻጭ,I,,,,
Breakfast home cook,ቁርስ ቤት ምግብ ሰሪ,I,,,,
Breakfast host,ቁርስ ቤት አስተናጋጅ,I,,,,
Brochures and stickers for posters,ብሮሸር በታኝ እና ስቲከር ለጣፊ,I,,,,
Budding comedy talent,ጀማሪ የኮሜዲ ታለንት,I,,,,
"Budget Allocation Specialist, Salary Scale Research Specialist",የበጀት ድልድል ባለሙያ ፣ የደመወዝ እስኬል ጥናት ባለሙያ,P,,,,
Builder,ግንበኛ,I,,,,
Burger house manager,የበርገር ቤት ማናጀር,P,,,,
Burger house waiter,የበርገር ቤት አስተናጋጅ,I,,,,
Business developer,ቢዝነስ ዴቨሎፐር,P,,,,
Business information editor and writer,የቢዝነስ መረጃዎች አዘጋጅ እና ፀሀፊ,P,,,,
Call center,ኮል ሴንተር,P,,,,
Camcorder TV (Fulm),የካሜራ ቀረፃ ቲቪ (ፉልም),P,,,,
Camera expert,ካሜራ ባለሙያ,P,,,,
Cameraman and editor,ካሜራ ማን እና ኢዲተር,P,,,,
"Cameraman, Video Editor, Senior Reporter, Reporter, Business and Economy Programmer, News Producer",ካሜራ ባለሙያ፣ ቪዲዮ ኤዲተር፣ ከፍተኛ ሪፖርተር፣ ሪፖርተር፣ የቢዝነስና ኢኮኖሚ ፕሮግራም አዘጋጅ፣ የዜና አዘጋጅ,P,,,,
Can make Chinese 🇨🇳 food,የቻይና🇨🇳 ምግብ መስራት የሚችል/የምትችል,P,,,,
Car attendant,የመኪና ረዳት,I,,,,
Car body worker,የመኪና ቦዲ ሰራተኛ,P,,,,
Car seat clothes wide,የመኪና ወንበር ልብስ ሰፊ,I,,,,
Carpet cleaner,የምንጣፍ እጥበት ሰራተኛ,I,,,,
Case executive,ጉዳይ ፈፃሚ,P,,,,
Case executor and legal assistant,ጉዳይ ፈጻሚ እና የህግ ረዳት,P,,,,
Cashier,ካሸሪ,P,,,,
Chief Mechanic,ቺፍ መካኒክ,P,,,,
Chief woodworker,ቺፍ የእንጨት ባለሙያ,P,,,,
Children's boutique sales clerk,የልጆች ቡቲክ የሽያጭ ሰራተኛ,I,,,,
Children's hair braider,የህፃናት ፀጉር ሹሩባ ሠራተኛ,I,,,,
Children's hairdresser,የልጆች ፀጉር ባለሙያ,,,,,
Children's teacher,የሟህለፃናት መምህር,P,,,,
Chips and egg sandwiches,ቺፕስ እና እንቁላል ሳንዱች ጠባሽ,I,,,,
Cinema host,የሲኒማ አስተናጋጅ,I,,,,
Civics teacher,ሲቪክስ አስተማሪ,P,,,,
Civil or Mechanical Engg,ሲቪል ወይም መካኒካል ኢንጂነር,P,,,,
Cleaning,ጽዳት,I,,,,
Cleaning supervisor,የጽዳት ስራ ሱፐርቫይዘር,I,,,,
Clerk of the registry office,መዝገብ ቤት ሰራተኛ,I,,,,
Clerk/Secretary/Secretary,የጽሕፈትና የቢሮ አስተዳር ባለሙያ/ጸሐፊ/ሴክሪታሪ,P,,,,
Clothing designer,ልብስ ዲዛይነር,P,,,,
Clothing printing,የልብስ ህትመት,U,,,,
Coffee collector,ቡና ሰብሳቢ,I,,,,
Columnist/ Secretary,አምደኛ/ ፀሀፊ,P,,,,
Comedian (comedy presenter),ኮሜዲያን (ኮሜዲ ድራሲና አቅራቢ),P,,,,
Commission work,የኮሚሽን ስራ,I,,,,
competent video editor,ብቃት ያለው ቪዲዮ ኤዲተር,P,,,,
Complete service for individual or corporate wholesale distribution,የይሙሉ አገልግሎትን በግል ወይም በድርጅት በጅምላ ለማከፋፈል,I,,,,
Computer and information specialist,የኮምፒውተር እና መረጃ ባለሞያ,P,,,,
Computer and mobile home sales,ኮፒተርና ሞባይል ቤት ሽያጭ,P,,,,
Computer Science or Information Technology and Executive Affairs,ኮምፒውተር ሳይንስ ወይም ኢንፎርሜሽን ቴክኖሎጂ እና ጉዳይ አስፈፃሚ,P,,,,
Construction equipment sales employee,የህንፃ መሳሪያ ሽያጭ ሰራተኛ,I,,,,
Construction expert,የግንባታ ባለሙያ,I,,,,
Construction professionals,የኮንስትራክሽን ባለሙያዎች,P,,,,
Content developer,ኮንቴንት ዴቨሎፐር,P,,,,
Control and deployment of vehicles and machines,የተሽከርካሪዎች እና ማሽኖች ተቆጣጣሪ እና ስምሪት,I,,,,
Coordinator,ኮኦርድኔተር,U,,,,
Copy house worker,የ ኮፒ ቤት ፀሀፊ,P,,,,
Corn specialist,የዳቦ ቆሎ ባለሙያ,I,,,,
Corporate promoter,የድርጅት ፕሮሞተር,P,,,,
Counselor,አማካሪ,P,,,,
Cover wide specialist,የሽፎን ሰፊ ባለሙያ,P,,,,
Craftsman,የእጅ ስራ ባለሙያ,I,,,,
Culture actor,የባህል ተወወዛዋዥ,I,,,,
Customs enforcement,ጉምሩክ ጉዳይ የሚያስፈጽም,P,,,,
beauty salon for women,የሴቶች የውበት ሳሎን,P,,,,
Data collector,መረጃ ሰብሳቢ,P,,,,
Dean,ዲን,P,,,,
Decoration of precious stones,የከበሩ ድንጋዮች ማስዋብ,I,,,,
Decorator,የዲኮር ሰራተኛ,P,,,,
Delivery driver,ዴሊቨሪ ሞተረኛ,I,,,,
Design and printing,ዲዛይን እና ፕሪንቲንግ,P,,,,
Digital Instructor,ድጅታል ኢንስትራክተር,U,,,,
Digital Marketing Officer,ዲጂታል ማርኬቲንግ ኦፊሰር,P,,,,
Digital Sales Executive,ዲጂታል ሴልስ ኤክኩቲቭ,P,,,,
Directing and essay writing teacher,የዳይሬክቲንግ እና ድርሰት አፃፃፍ አስተማሪ,P,,,,
Director,ዳይሬክተር,P,,,,
Dish maker,የዲሽ ሰሪ,P,,,,
"Dishwasher, Driller, Plumbing & Maintenance, Electrical Installation & Maintenance, Painter",የዲሽ ባለሙያ፣ የ ድሪል ባለሙያ፣ የውሃ ዝርጋታ እና ጥገና፣ የኤሌክትሪክ ዝርጋታ እና ጥገና፣ የቀለም ባለሙያ,P,,,,
Draftsman,ድራፍት ቀጂ,I,,,,
Dramatic essay writer,የድራማ ድርሰት ፀሃፊ,P,,,,
Driver,ሹፌር,I,,,,
Driving instructor,መኪና መንዳት አለማማጅ,I,,,,
Druggist,ድረጊስት,I,,,,
Economic and business event provider,የኢኮኖሚና ቢዝነስ ዝግጅት አቅራቢ,P,,,,
Editor and graphic artist,ኤዲተርና ግራፊክስ ባለሙያ,P,,,,
Electrical Engineer,ኤሌክትሪካል ኢንጅነር,P,,,,
Electronic sales staff,የኤሌክትሮኒክስ ሽያጭ ሰራተኛ,I,,,,
Elevator Attendant/Controller,ሊፍት አቴንደንት/ተቆጣጣሪ,I,,,,
Engineer,ኢንጂነር,P,,,,
English language teacher,የእንግሊዚኛ የቋንቋ መምህር,P,,,,
English writer,እንግሊዘኛ ጸሀፊ,P,,,,
Entertainment and business writer and reader,የመዝናኛ እና ቢዝነስ ፅሃፊ እና አንባቢ,P,,,,
Envoy in regional cities,መልዕክተኛ በክልል ከተሞች,U,,,,
Epoxy specialist,የኢፖክሲ ባለሙያ,U,,,,
Event coordination,ኤቨንት ማስተባበር,I,,,,
Experienced Latin dance and dance instructor,ልምድ ያለው/ላት ውዝዋዜ እና ዳንስ አስተማሪ,P,,,,
Experienced repair technician,ልምድ ያለው የጥገና ባለሙያ,P,,,,
Facial mask,ፌሻል ባሙያ,P,,,,
Farm foreman,የእርሻ ፎርማን,I,,,,
Farm manager,የእርሻ ስራ አስኪያጅ,P,,,,
Fashion model,የፋሽን ሞዴል,P,,,,
Fast Amharic writer,ፈጣን አማርኛ ፀሀፊ,I,,,,
actors,ተዋናዮች,P,,,,
assistant teacher,ረዳት መምህር,P,,,,
clothing seller,ሻጭ,I,,,,
co-host of the radio program,ተባባሪ የሬዲዬ ፕሮግራም አዘጋጅ,P,,,,
copy house worker,የኮፒ ቤት ሰራተኛ,I,,,,
customer service officer,የደንበኞች አገልግሎት ኦፊሰር,P,,,,
DJ,ዲጄ,I,,,,
graphic designer,ግራፊክስ ዲዛይነር,P,,,,
nail and lash specialist,ጥፍር እና አይላሽ ባለሙያ,P,,,,
narrator,ተራኪ,U,,,,
security guard,የጥበቃ ሰራተኛ,I,,,,
share sales and monitoring specialist,የሼር ሽያጭና ክትትል ባለሙያ,I,,,,
TV entertainment presenter,የቴሌቪዥን የመዝናኛ ፕሮግራም አቅራቢ,P,,,,
Field reporter,የመስክ ዜና ዘጋቢ,P,,,,
Field work and marketing specialist,የመስክ ስራ እና የገበያ አፈላላጊ ባለሙያ,I,,,,
Film mounting and printing services,ፊልም መጫን እና የህትመት አገልግሎት,P,,,,
Film production manager,የፊልም ፕሮዳክሽን ስራ አስኪያጅ,P,,,,
Finishing specialist,የፊኒሺንግ ባለሙያ,P,,,,
Florist,የአበባ ማስዋብ ሰራተኛ,I,,,,
Food and beverage control expert,ምግብና መጠጥ ቁጥጥር ባለሞያ,I,,,,
For those who want to work as a producer,ፕሮዲውሰር ሆኖ መስራት ለምትፈልጉ,p,,,,
Furniture store,የእእቴሽነሪ እቃዎች መሸጫ,i,,,,
Game Zone Pool Player,ጌም ዞን ፑል አጫዋች,I,,,,
Gardener,ግቢ ተንከባካቢ(አትክልተኛ),I,,,,
Garment Manager,ጋርመንት ማናጀር,P,,,,
General manager,ዋና ስራ አሰኪያጅ,P,,,,
General Manager/Finance,ዋና አስተዳዳሪ/ ፋይናንስ,P,,,,
Graphic designer,የግራፊክስ ባለሙያ,P,,,,
Graphic Designer and Social Media Officer,የግራፊክስ ዲዛይነርና የሶሻል ሚዲያ ኦፊሰር,P,,,,
Grind salt,ጨው መፍጨት,I,,,,
Grinder,በግራይንደር,I,,,,
Guest House Receptionist and Host,ገስት ሀወስ እንግዳ ተቀባይ እና አስተናጋጅ,I,,,,
Haba food worker,የሀበሻ ምግብ ሰራተኛ,I,,,,
Hairdresser,የፀጉር አስተካካይ,P,,,,
Handicraft (Lace Craftsman),የእጅ ስራ (ዳንቴል ባለሞያ),I,,,,
Has a hacker and an embroidery singer,ጠላፊ እና የጥልፍ ሲንጀር ያለዉ,P,,,,
Head of Administration,የአስተዳደር ኃላፊ,P,,,,
Head of Administration and Finance,አስተዳደርና ፋይናንስ ኃላፊ,P,,,,
Head of Beauty Training Institute,የዉበት ሰራ ማሰልጠኛ ተቋም ሀላፊ,P,,,,
Head of Education Quality and Student Affairs Office,የትምህርት ጥራትና የተማሪዎች ጉዳይ ቢሮ ሃላፊ,P,,,,
Head of general maintenance department,አጠቃላይ ጥገና ክፍል ሃላፊ,P,,,,
Head of Production Department & Human Resource Management,የምርት ክፍል ሀላፊ & የሰው ሃይል አስተዳደር,P,,,,
Health professional,የጤና ባለሞያ,P,,,,
History teacher,የሂስትሪ መምህር,P,,,,
Host,የፕሮግራም አቅራቢ (ሆስት),P,,,,
Human Resource Development and General Services Officer,የሰው ኃብት ልማት እና ጠቅላላ አገልግሎት ኦፊሰር,P,,,,
Ice cream expert,አይስክሬም ባለሙያ,U,,,,
in agriculture,በግብርና,U,,,,
"In case of two-wheeler (motorcycle) executor, consignee and consignee and proper preparation of documents.",በባለሁለት ጎማ (ሞተር ብስክሌት) ጉዳይ አስፈጻሚ ፣ እቃ ገዢ እና አድራሽ እና ሰነዶችን በተገቢው ማዘጋጀት,I,,,,
Instillation and woodworking specialist,ኢንስታይልሽን እና የ እንጨት ስራ ባለሙያ,,,,,
"Instrumentalist (bass, flute, harp)","የዜማ መሳሪያ ተጫዋች (ክራር, ዋሽንት, በገና)",I,,,,
Interviewer,ቃለ መጠይቅ አድራጊ,I,,,,
Inventory and monitoring officer,በንብረት ክምችት እና ክትትል ኦፊሰር,P,,,,
Job opportunities for event planning and sales professionals,ለኢቨንት ፕላኒንግ እና የሴልስ ሙያተኛ የስራ ዕድል,U,,,,
Journalists,ጋዜጠኞች,P,,,,
Junior Sales Engineer Staff (Sales Department),ጀማሪ የሽያጭ መሀንዲስ ሰራተኛ (የሽያጭ ክፍል),P,,,,
Junior technician,ጀማሪ ቴክኒሺያን,P,,,,
Kitchen staff ,የወጥ ቤት ሰራተኛ,P,,,,
Leather factory worker,ቆዳ ፋብሪካ ሰራተኛ,I,,,,
Legal advisor,የህግ አማካሪ,P,,,,
Legal executive,ሕጋዊ ጉዳይ አስፈፃሚ,P,,,,
Librarian,የቤተ መፅሐፍት ባለሙያ,P,,,,
Liquid cargo truck driver,ሹፌር,I,,,,
Liquor store salesman,የመጠጥ ማከፋፈያ ሱቅ ሻጭ,I,,,,
Livestock seller,የእንስሳት ተዋህጾ ሻጭ,I,,,,
Loader and unloader,እቃ ጫኚ እና አውራጅ,I,,,,
Loan Monitoring Officer,ብድር ክትትል ኦፊሰር,P,,,,
Machine controller,ማሽን ተቆጣጣሪ,P,,,,
Made of steel,የብርታብረት ሰራተኝ,P,,,,
"Magazine, Binder and Photo Shooter",መጽሔት፣ባይንደር እና ፎቶ የሚያነሳ,P,,,,
Makeup artist,ሜካፕ ባለሙያ,P,,,,
Making flowers,አበባ መስራት,I,,,,
Making milkshakes,ሚልክሼክ የምትሰራ,I,,,,
Entertainment and Business Writer and Reader (for YouTube),የመዝናኛ እና ቢዝነስ ፅሃፊ እና አንባቢ (ለዮትዮብ),P,,,,
model,ሞዴል,P,,,,
Finance,ፋይናንስ,P,,,,
Marie graphic designer,ማሪ ግራፊክስ ዲዛይነር,P,,,,
Marketer,ማርኬተር,P,,,,
Marketing Manager,ማርኬቲንግ ማኔጀር,P,,,,
Marketing Officer,ማርኬቲንግ ኦፊሰር,P,,,,
Marketing specialist,የማርኬቲን ባለሙያ,,,,,
Marketing specialist,የማርኬቲንግ ከፍተኛ ባለሙያ,,,,,
Massage and skin specialist,የማሳጅና የቆዳ ባለሞያ,P,,,,
Master baker and assistant baker,ዋና ዳቦ ጋጋሪ እና ረዳት ዳቦ ጋጋሪ,U,,,,
Master Juicer,ዋና ጁስ ሰሪ,P,,,,
Mechanic,ሜካኒክ,P,,,,
Mechanical Engineer,መካኒካል ኢንጅነር,P,,,,
Media Digital Manager,የሚድያ ዲጅታል ማናጀር,P,,,,
Member Affairs Officer,የአባላት ጉዳይ ኦፊሰር,P,,,,
Member Relations and Capacity Building Professional Accountant,የአባላት ግንኙነት እና አቅም ግንባታ ባለሙያ,P,,,,
Messenger and executor,ተላላኪ እና ጉዳይ አስፈፃሚ,P,,,,
Minimarket sales professional,የሚኒማርኬት የሽያጭ ባለሙያ,I,,,,
Mobile repair,ሞባይል ጥገና,P,,,,
Music composer,ሙዚቃ አቀናባሪ,U,,,,
Musical instrument trainer,የዜማ መሳሪያዎች አሰልጣኝ,U,,,,
Network expansion,የኔትወርክ ዝርጋታ,U,,,,
Newsreader/journalist,ዜና አንባቢ/ጋዜጠኛ,P,,,,
Night restaurant and bar manager,የማታ የሪስቶራንትና ባር ማናጀር,P,,,,
Online promotion,ኦን ላይን ፕሮሞሽን,U,,,,
Oromo language audio recording,የኦሮምኛ ቋንቋ የድምጽ ቅጂ ቀረጻ,P,,,,
Oromo teacher,ኦሮመኛ መምህር,P,,,,
Oromo to Amharic translator,ኦሮምኛ ወደ አማርኛ ተርጎሚ,P,,,,
Painter,ሰዐሊ,I,,,,
Painter,ቀለም ቀቢ,I,,,,
Permanent building manager,ሁልገብ ህንፃ አስተዳዳሪ,P,,,,
Personal assistant and social media manager,የግል እረዳት እና ሶሻል ሚዲያ ማናጀር,P,,,,
Personality building and motivational speaker,የስብእና ግንባታ እና አነቃቂ ንግግር ተናጋሪ,U,,,,
Personnel Manager,ፐርሰናል ማናጀር,U,,,,
Pharmacist,ፋርማሲስት,P,,,,
Photo and video editor,ፎቶ እና ቪዲዮ ኤዲተር,P,,,,
Photoshop designer,ፎቶሾፕ ዲዛይነር,P,,,,
Photoshop editor,ፎቶሾፕ ኤዲተር,P,,,,
Physician and Physiotherapy Specialist,አስታማሚ እና የፊዚዮቴራፒ ባለሞያ,P,,,,
Plumbing and electrical,የቧንቧ አና የኤሌክትሪክ,P,,,,
Political analyst,የፓለቲካ ተንታኝ,P,,,,
Pool House Revenue Officer,ፑል ቤት የገቢ ሰራተኛ,I,,,,
Pottery maker,የሸክላ ውጤቶች ሰሪ,I,,,,
Preparation of career proposals,ፕሮፖዛል ማዘጋጀት,P,,,,
Prepare a script,ስክሪፕት አዘጋጅ,P,,,,
Principal for Kindergarten,ርዕሰ መምህርት ለመዋዕለ ህፃናት,P,,,,
Print designer,የህትመት ስራ ዲዛይነር,P,,,,
Printing machine controller,የ ህትመት ማሽን ተቆጣጣሪ,P,,,,
Produce news. Reader and reporter,ዜና አዘጋጅ፤ አንባቢና ሪፖርተር,P,,,,
Producer of a religious YouTube channel,የሀይማኖታዊ ዩቲዩብ ቻናል አዘጋጅ,P,,,,
"Producer, Presenter and Commentator (Sports)",አዘጋጅ፣ አቅራቢ እና ተንታኝ (ስፖርት),P,,,,
Production and Service Supervisor,የምርት እና ሰርቪስ ሱፐርቫይዘር,U,,,,
Professional massage therapist,ፕሮፌሽናል የማሳጅ ሰራትኛ,U,,,,
Project Manager job announcement,የፕሮጀክት ማናጀር ሥራ ማስታወቂያ,P,,,,
Project Manager or Account Officer,ፕሮጀክት ማናጀር ወይም አካውንት ኦፊሰር,P,,,,
promoter,ፕሮሞተር,U,,,,
Property and General Services Officer,የንብረትና ጠቅላላ አገልግሎት ኦፊሰር,P,,,,
Protection,ጥበቃ,I,,,,
Psychological counselor,የስነልቦና አማካሪ,P,,,,
Purchaser,እቃ ግዥ ሠራተኛ,I,,,,
Quality controller,ኳሊቲ ተቆጣጣሪ,U,,,,
Radio host and salesperson,የሬድዮ ሆስት እና ሽያጭ ሰራተኛ,,,,,
Reader for YouTube channel analysis,ለዩትዩብ ቻነል ትንታኔ አንባቢ,U,,,,
